,Unnamed: 0,region/nation,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04
0,,south east,43681,43947,44213,44374,44375,,
1,,london,50466,50932,51475,51834,51839,,
2,,north west,87263,89244,90602,91819,91823,,
3,,east of england,31348,31619,31784,31923,31933,,
4,,west midlands,43350,43937,44352,44685,44691,,
5,,south west,18158,18344,18535,18633,18635,,
6,,yorkshire and the humber,51259,52036,52733,53422,53431,,
7,,east midlands,33509,33897,34273,34608,34608,,
8,,north east,26248,26646,27038,27380,27380,,
9,,scotland,29179,29826,30544,31231,31451,,
10,,northern ireland,11394,11824,12482,12886,,,
11,,wales,24416,24831,25291,25418,25420,,
