,country,land,2020-10-05,2020-10-06
0,Albania,Albanien,1,1
1,Andorra,Andorra,1,1
2,Austria,Österreich,1,1
3,Belarus,Weißrussland,0,0
4,Belgium,Belgien,1,1
5,Bosnia-and-Herzegovina,Bosnia und Herzegowina,1,1
6,Bulgaria,Bulgarien,1,1
7,Channel-Islands,Kanalinseln,0,0
8,Croatia,Kroatien,1,1
9,Czechia,Tschechien,1,1
10,Denmark,Dänemark,1,1
11,Estonia,Estland,1,1
12,Faeroe-Islands,Färöer Inseln,0,0
13,Finland,Finnland,0,0
14,France,Frankreich,1,1
15,Germany,Deutschland,0,0
16,Gibraltar,Gibraltar,1,1
17,Greece,Griechenland,0,0
18,Hungary,Ungarn,1,1
19,Iceland,Island,1,1
20,Ireland,Irland,1,1
21,Isle-of-Man,Isle of Man,0,0
22,Italy,Italien,0,0
23,Latvia,Lettland,0,0
24,Liechtenstein,Liechtenstein,0,0
25,Lithuania,Litauen,1,1
26,Luxembourg,Luxemburg,1,1
27,Malta,Malta,0,0
28,Moldova,Republik Moldau,1,1
29,Monaco,Monaco,0,0
30,Montenegro,Montenegro,1,1
31,Netherlands,Niederlande,1,1
32,North-Macedonia,Nordmazedonien,1,1
33,Norway,Norvegen,0,0
34,Poland,Polen,0,0
35,Portugal,Portugal,1,1
36,Romania,Rumänien,1,1
37,Russia,Russland,0,0
38,San-Marino,Republik San Marino,0,0
39,Serbia,Serbien,1,1
40,Slovakia,Slowakei,0,0
41,Slovenia,Slowenien,1,1
42,Spain,Spanien,1,1
43,Sweden,Schweden,0,0
44,Switzerland,Schweiz,1,1
45,UK,England,0,0
46,Ukraine,Ukraine,1,1
47,Vatican-City,Vatikanstadt,0,0
