country,population,2020-09-28,2020-09-29,2020-09-30
",country,population,2020-09-28,2020-09-29,2020-09-30",,,,
"0,Albania,2877026,13391,13518,13518",,,,
"1,Andorra,77295,1966,1966,1966",,,,
"2,Austria,9019005,43432,44041,44813",,,,
"3,Belarus,9448561,77946,78260,78631",,,,
"4,Belgium,11602026,114179,115353,117115",,,,
"5,Bosnia-and-Herzegovina,3275766,27001,27226,27226",,,,
"6,Bulgaria,6935465,20271,20547,20547",,,,
"7,Channel-Islands,174254,664,664,664",,,,
"8,Croatia,4098930,16245,16380,16593",,,,
"9,Czechia,10713834,65883,66788,67843",,,,
"10,Denmark,5797170,27072,27464,27998",,,,
"11,Estonia,1326756,3266,3315,3371",,,,
"12,Faeroe-Islands,48908,460,463,463",,,,
"13,Finland,5542847,9743,9892,9992",,,,
"14,France,65308767,542639,550690,550690",,,,
"15,Germany,83849953,288618,290466,290466",,,,
"16,Gibraltar,33689,382,391,396",,,,
"17,Greece,10410475,17707,18123,18123",,,,
"18,Hungary,9654248,24716,25567,26461",,,,
"19,Iceland,341786,2663,2695,2695",,,,
"20,Ireland,4951033,35377,35740,35740",,,,
"21,Isle-of-Man,85142,340,340,340",,,,
"22,Italy,60439986,311364,313011,313011",,,,
"23,Latvia,1880937,1697,1729,1824",,,,
"24,Liechtenstein,38155,117,118,118",,,,
"25,Lithuania,2712663,4490,4587,4693",,,,
"26,Luxembourg,628428,8376,8431,8431",,,,
"27,Malta,441833,3006,3035,3058",,,,
"28,Moldova,4031657,51194,52029,52029",,,,
"29,Monaco,39309,212,214,214",,,,
"30,Montenegro,628085,10441,10575,10575",,,,
"31,Netherlands,17144127,114540,117551,120845",,,,
"32,North-Macedonia,2083353,17674,17786,17786",,,,
"33,Norway,5431601,13788,13861,13915",,,,
"34,Poland,37836322,88636,89962,91514",,,,
"35,Portugal,10189388,74029,74717,74717",,,,
"36,Romania,19205541,123944,125414,127572",,,,
"37,Russia,145949954,1159573,1167805,1176286",,,,
"38,San-Marino,33949,727,727,727",,,,
"39,Serbia,8728688,33414,33479,33479",,,,
"40,Slovakia,5460297,9343,9574,10141",,,,
"41,Slovenia,2079009,5388,5487,5690",,,,
"42,Spain,46759213,748266,758172,758172",,,,
"43,Sweden,10114527,90923,92466,92863",,,,
"44,Switzerland,8669932,52646,52871,53282",,,,
"45,UK,67972591,439013,446156,446156",,,,
"46,Ukraine,43668011,201305,204932,208959",,,,
"47,Vatican-City,801,12,12,12",,,,
